time,angle
0,40
52,-43
105,44
157,-41
209,33
261,-7
313,0
364,-11
417,19
468,-27
520,35
572,-48
624,50
677,-48
729,42
780,-31
832,4
884,-2
936,12
989,-20
1040,28
1092,-36
1145,43
1196,-43
1249,38
1300,-28
1353,16
1404,-4
1457,14
1508,-22
1561,30
1613,-39
1665,45
1717,-49
1769,45
1821,-37
1873,26
1924,-12
1977,6
2028,-15
2081,23
2133,-31
2184,38
2236,-42
2289,40
2341,-34
2392,23
2444,-10
2496,1
2549,-18
2601,26
2653,-34
2705,41
2756,-46
2809,48
2861,-42
2913,32
2965,-19
3017,5
3069,0
3120,19
3172,-27
3225,35
3276,-40
3328,42
3380,-42
3432,28
3485,-17
3537,3
3589,-3
3641,13
3693,-30
3745,38
3796,-44
3849,47
3901,-48
3953,44
4005,-25
4056,12
4109,0
4161,6
4213,-15
4264,31
4316,-37
4368,41
4421,-42
4472,39
4524,-32
4576,9
4629,-1
4681,9
4733,-18
4785,27
4837,-41
4889,46
4941,-47
4992,45
5045,-40
5097,31
5149,-4
5200,1
5253,-12
5304,20
5357,-28
5408,40
5460,-41
5513,40
5564,-35
5616,26
5669,-14
5721,5
5773,-15
5825,24
5877,-32
5928,39
5980,-47
6032,46
6085,-42
6137,34
6189,-23
6240,9
6293,-8
6344,17
6397,-25
6448,33
6501,-38
6553,41
6605,-37
6657,29
6708,-19
6760,6
6812,0
6865,21
6916,-29
6968,36
7021,-42
7072,46
7125,-43
7177,37
7229,-27
7280,14
7332,-1
7385,4
7437,-23
7488,31
7541,-36
7593,40
7645,-41
7696,32
7748,-22
7801,10
7852,-2
7904,8
7956,-18
8009,34
8061,-41
8113,45
8164,-46
8216,44
8269,-30
8321,18
8373,-5
8424,1
8476,-12
8528,21
8581,-35
8632,39
8684,-40
8737,39
8789,-34
8840,13
8892,0
8945,5
8997,-16
9049,25
9101,-33
9152,44
9205,-46
9257,45
9309,-40
9361,32
9413,-8
9464,1
9517,-9
9568,18
9620,-27
9673,33
9724,-40
9776,39
9828,-35
9881,27
9932,-16
9984,3
10036,-13
10089,23
10141,-31
10193,38
10244,-43
10297,45
10348,-41
10400,33
10453,-23
10504,11
10557,-7
10608,17
10661,-25
10712,32
10765,-37
10816,39
10869,-35
10920,28
10973,-18
11024,6
11077,0
11129,21
11181,-29
11233,37
11284,-42
11336,45
11388,-44
11441,35
11493,-25
11545,13
11597,0
11649,5
11700,-24
11752,31
11805,-36
11856,39
11909,-39
11960,36
12012,-19
12064,8
12116,-1
12168,10
12221,-20
12272,35
12325,-41
12378,44
12432,-44
12484,40
12535,-34
12588,12
12640,0
12691,5
12744,-15
12795,24
12847,-31
12900,38
12952,-38
13004,35
13056,-28
13107,19
13159,0
13212,10
13264,-20
13315,29
13368,-36
13420,41
13472,-43
13524,41
13576,-34
13627,25
13680,-14
13732,4
13784,-14
13835,23
13888,-30
13939,35
13991,-37
14044,35
14096,-28
14147,19
14199,-8
14251,1
14303,-19
14356,28
14409,-35
14461,40
14512,-43
14564,43
14617,-33
14669,24
14720,-13
14773,1
14824,-5
14877,15
14928,-30
14981,35
15033,-37
15085,37
15136,-33
15188,18
15241,-7
15293,0
15344,-10
15397,20
15449,-28
15501,40
15553,-42
15605,42
15657,-39
15708,33
15761,-13
15812,1
15864,-4
15916,14
15969,-23
16020,29
16072,-36
16124,36
16177,-33
16228,27
16281,-18
16333,0
16384,-10
16437,19
16489,-28
16540,34
16593,-39
16645,42
16696,-39
16748,32
16801,-23
16852,12
16905,0
16957,15
17009,-23
17061,29
17112,-34
17165,36
17217,-32
17269,25
17320,-16
17372,5
17424,0
17476,11
17529,-28
17580,35
17633,-39
17685,41
17736,-41
17789,30
17841,-21
17892,10
17945,0
17997,6
18049,-15
18101,29
18152,-33
18204,35
18257,-35
18308,31
18360,-15
18413,4
18465,-1
18517,11
18569,-20
18620,28
18672,-39
18725,41
18776,-40
18829,36
18880,-30
18932,10
18984,-1
19036,6
19088,-15
19140,23
19192,-29
19245,35
19296,-34
19349,30
19401,-23
19453,14
19504,-1
19557,12
19609,-21
19661,28
19713,-34
19765,38
19817,-39
19869,35
19921,-28
19972,19
20025,-8
20076,7
20128,-16
20180,23
20233,-29
20285,33
20336,-34
20388,29
20441,-22
20492,13
20545,-2
20596,2
20648,-21
20701,29
20752,-34
20805,38
20857,-39
20909,38
20960,-27
21012,18
21065,-7
21116,1
21168,-7
21221,24
21272,-29
21325,32
21377,-33
21431,32
21483,-27
